Word,Rank,Frequency
,,
the,1,133211
,,
and,2,94787
,,
of,3,71173
,,
to,4,47591
,,
a,5,33573
,,
in,6,33391
,,
i,7,28593
,,
that,8,28241
,,
he,9,25408
,,
it,10,21537
,,
his,11,21375
,,
for,12,19396
,,
was,13,18647
,,
with,14,17560
,,
not,15,17281
,,
is,16,16343
,,
be,17,16056
,,
you,18,15878
,,
as,19,14464
,,
but,20,13558
,,
all,21,13557
,,
they,22,12983
,,
him,23,12928
,,
shall,24,11676
,,
her,25,11446
,,
my,26,10462
,,
had,27,10305
,,
them,28,10199
,,
have,29,10100
,,
said,30,9396
,,
me,31,9360
,,
at,32,9134
,,
from,33,9062
,,
unto,34,9010
,,
she,35,8897
,,
this,36,8848
,,
which,37,8742
,,
on,38,8536
,,
by,39,8457
,,
lord,40,8441
,,
their,41,7790
,,
so,42,7704
,,
will,43,7311
,,
were,44,6872
,,
are,45,6838
,,
thou,46,6740
,,
when,47,6296
,,
or,48,6272
,,
one,49,6066
,,
there,50,6032
,,
out,51,5711
,,
no,52,5707
,,
thy,53,5604
,,
what,54,5534
,,
if,55,5181
,,
man,56,5168
,,
god,57,5156
,,
your,58,5088
,,
then,59,5039
,,
we,60,4992
,,
up,61,4955
,,
an,62,4866
,,
thee,63,4792
,,
now,64,4618
,,
do,65,4612
,,
ye,66,4606
,,
upon,67,4581
,,
who,68,4186
,,
into,69,4098
,,
more,70,4036
,,
would,71,4024
,,
very,72,3984
,,
come,73,3609
,,
could,74,3577
,,
before,75,3427
,,
been,76,3402
,,
any,77,3349
,,
like,78,3339
,,
came,79,3330
,,
did,80,3072
,,
little,81,3063
,,
day,82,3054
,,
know,83,3007
,,
than,84,2904
,,
every,85,2874
,,
see,86,2841
,,
great,87,2836
,,
these,88,2834
,,
go,89,2821
,,
house,90,2811
,,
king,91,2808
,,
us,92,2788
,,
down,93,2779
,,
people,94,2772
,,
am,95,2762
,,
some,96,2737
,,
made,97,2734
,,
son,98,2707
,,
our,99,2706
,,
say,100,2702
,,
after,101,2701
,,
good,102,2667
,,
time,103,2637
,,
men,104,2635
,,
how,105,2616
,,
israel,106,2582
,,
about,107,2582
,,
let,108,2571
,,
should,109,2543
,,
hath,110,2535
,,
such,111,2525
,,
may,112,2519
,,
over,113,2509
,,
only,114,2479
,,
even,115,2464
,,
hand,116,2403
,,
other,117,2384
,,
must,118,2331
,,
two,119,2328
,,
well,120,2320
,,
mr,121,2317
,,
against,122,2315
,,
went,123,2306
,,
much,124,2289
,,
make,125,2246
,,
own,126,2214
,,
children,127,2214
,,
yet,128,2201
,,
also,129,2183
,,
again,130,2083
,,
land,131,2061
,,
old,132,2033
,,
father,133,2007
,,
away,134,2006
,,
can,135,1996
,,
things,136,1963
,,
might,137,1955
,,
thing,138,1942
,,
o,139,1940
,,
first,140,1911
,,
because,141,1878
,,
way,142,1868
,,
mrs,143,1838
,,
give,144,1814
,,
never,145,1806
,,
where,146,1801
,,
take,147,1788
,,
nor,148,1779
,,
saying,149,1741
,,
long,150,1701
,,
though,151,1698
,,
its,152,1682
,,
has,153,1681
,,
himself,154,1678
,,
think,155,1677
,,
shalt,156,1673
,,
those,157,1658
,,
being,158,1644
,,
here,159,1643
,,
earth,160,1633
,,
therefore,161,1626
,,
saw,162,1617
,,
ever,163,1609
,,
heard,164,1589
,,
put,165,1588
,,
through,166,1583
,,
without,167,1575
,,
many,168,1574
,,
off,169,1541
,,
place,170,1534
,,
most,171,1514
,,
behold,172,1468
,,
name,173,1449
,,
heart,174,1449
,,
too,175,1444
,,
nothing,176,1431
,,
eyes,177,1421
,,
whom,178,1419
,,
among,179,1405
,,
head,180,1397
,,
life,181,1364
,,
thus,182,1363
,,
still,183,1344
,,
thought,184,1334
,,
just,185,1320
,,
done,186,1312
,,
last,187,1312
,,
days,188,1306
,,
word,189,1280
,,
saith,190,1267
,,
face,191,1264
,,
found,192,1263
,,
same,193,1246
,,
voice,194,1244
,,
took,195,1238
,,
why,196,1231
,,
brought,197,1229
,,
hast,198,1228
,,
hear,199,1225
,,
another,200,1224
,,
world,201,1223
,,
sons,202,1216
,,
while,203,1206
,,
forth,204,1187
,,
three,205,1187
,,
sea,206,1183
,,
set,207,1174
,,
miss,208,1171
,,
young,209,1155
,,
round,210,1150
,,
night,211,1148
,,
tell,212,1138
,,
called,213,1128
,,
right,214,1125
,,
under,215,1116
,,
look,216,1116
,,
side,217,1111
,,
neither,218,1103
,,
cried,219,1095
,,
heaven,220,1092
,,
back,221,1089
,,
seemed,222,1083
,,
love,223,1079
,,
soon,224,1075
,,
quite,225,1067
,,
both,226,1067
,,
words,227,1052
,,
pass,228,1051
,,
david,229,1050
,,
thine,230,1046
,,
city,231,1037
,,
years,232,1020
,,
sir,233,1017
,,
left,234,1017
,,
till,235,1014
,,
always,236,1000
,,
mine,237,999
,,
hands,238,998
,,
bring,239,991
,,
oh,240,989
,,
jesus,241,988
,,
speak,242,986
,,
looked,243,982
,,
whale,244,977
,,
mother,245,975
,,
together,246,954
,,
herself,247,952
,,
high,248,946
,,
sent,249,942
,,
whole,250,935
,,
death,251,932
,,
stood,252,930
,,
seen,253,929
,,
thereof,254,919
,,
once,255,916
,,
gave,256,913
,,
something,257,912
,,
far,258,909
,,
sure,259,907
,,
soul,260,886
,,
end,261,886
,,
poor,262,884
,,
fathers,263,883
,,
woman,264,869
,,
according,265,867
,,
better,266,866
,,
moses,267,864
,,
work,268,850
,,
fire,269,849
,,
eat,270,849
,,
part,271,849
,,
given,272,845
,,
morning,273,840
,,
indeed,274,825
,,
jerusalem,275,818
,,
whose,276,818
,,
captain,277,816
,,
judah,278,813
,,
dont,279,813
,,
cannot,280,812
,,
evil,281,806
,,
each,282,805
,,
answered,283,801
,,
rather,284,797
,,
enough,285,793
,,
going,286,784
,,
full,287,782
,,
told,288,780
,,
myself,289,774
,,
themselves,290,774
,,
water,291,767
,,
offering,292,766
,,
between,293,766
,,
hundred,294,764
,,
light,295,763
,,
almost,296,760
,,
began,297,759
,,
thousand,298,753
,,
emma,299,752
,,
rest,300,749
,,
knew,301,746
,,
new,302,744
,,
mind,303,742
,,
dead,304,741
,,
spirit,305,739
,,
kings,306,739
,,
get,307,735
,,
sight,308,735
,,
lady,309,727
,,
turned,310,726
,,
brother,311,725
,,
having,312,725
,,
find,313,722
,,
body,314,722
,,
white,315,720
,,
dear,316,720
,,
keep,317,716
,,
door,318,714
,,
art,319,714
,,
wife,320,711
,,
blood,321,708
,,
half,322,707
,,
friend,323,703
,,
stand,324,696
,,
moment,325,695
,,
holy,326,691
,,
gone,327,688
,,
none,328,683
,,
fear,329,677
,,
law,330,677
,,
hope,331,671
,,
home,332,670
,,
really,333,664
,,
few,334,663
,,
priest,335,659
,,
however,336,658
,,
spake,337,656
,,
believe,338,652
,,
gold,339,647
,,
taken,340,644
,,
peace,341,639
,,
egypt,342,629
,,
does,343,627
,,
call,344,625
,,
mouth,345,620
,,
elinor,346,618
,,
yes,347,615
,,
within,348,612
,,
sword,349,610
,,
perhaps,350,609
,,
known,351,607
,,
feet,352,604
,,
strong,353,604
,,
felt,354,601
,,
power,355,600
,,
near,356,599
,,
cast,357,597
,,
whether,358,595
,,
present,359,594
,,
room,360,593
,,
asked,361,592
,,
year,362,592
,,
servants,363,590
,,
sort,364,589
,,
bear,365,589
,,
ship,366,585
,,
air,367,584
,,
four,368,582
,,
best,369,581
,,
servant,370,580
,,
brethren,371,577
,,
christ,372,577
,,
ill,373,573
,,
turn,374,566
,,
small,375,562
,,
next,376,562
,,
sat,377,558
,,
happy,378,557
,,
others,379,555
,,
mean,380,554
,,
marianne,381,553
,,
five,382,552
,,
seven,383,551
,,
